City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,New Norfolk,AU,73.99,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
16,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
23,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
25,East London,ZA,70.3,broken clouds,-33.0153,27.9116,Tu Casa
40,Hobart,AU,73.99,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
50,Ler,SS,71.65,few clouds,8.3018,30.1418,
62,Atambua,ID,74.77,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
75,Mataura,NZ,71.82,overcast clouds,-46.1927,168.8643,Ellie's Villa
87,Port-Gentil,GA,76.89,overcast clouds,-0.7193,8.7815,Fengshui Residence
95,Amapa,BR,72.05,broken clouds,1.0,-52.0,
98,Acari,PE,73.62,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
103,Sibu,MY,77.0,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
122,Arraial Do Cabo,BR,76.82,clear sky,-22.9661,-42.0278,Pousada Porto Praia
129,Paka,MY,75.2,scattered clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
148,Hobyo,SO,75.4,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
167,Bengkulu,ID,74.19,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
174,Esperance,AU,73.4,clear sky,-33.8667,121.9,Hospitality Esperance
175,Kuala Terengganu,MY,75.2,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
179,Caravelas,BR,75.24,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
180,Beloha,MG,74.05,clear sky,-25.1667,45.05,
182,Cockburn Town,TC,73.29,clear sky,21.4612,-71.1419,Osprey Beach Hotel
185,Sao Filipe,CV,74.35,overcast clouds,14.8961,-24.4956,Tortuga B&B
214,Saint-Leu,RE,77.0,clear sky,-21.15,55.2833,La Caz Oceane
221,Benguela,AO,76.05,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
226,Tam Ky,VN,73.4,scattered clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
243,Cidreira,BR,75.79,overcast clouds,-30.1811,-50.2056,Hotel Castelo
244,Alta Floresta,BR,72.05,very heavy rain,-9.8756,-56.0861,Floresta Amazonica Hotel
245,Hambantota,LK,73.4,few clouds,6.1241,81.1185,Bungalow 63
254,Masuguru,TZ,71.04,overcast clouds,-11.3667,38.4167,
285,Praia,CV,73.4,clear sky,14.9215,-23.5087,LT Aparthotel
291,Tshikapa,CD,70.88,moderate rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
320,Vao,NC,76.21,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
325,Santa Cruz,BO,76.6,overcast clouds,-17.8,-63.1667,Hotel Cortez
336,Bataipora,BR,72.05,light rain,-22.2953,-53.2711,Hotel Vale do Ivinhema
344,Namibe,AO,72.9,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
357,Itaituba,BR,73.33,light rain,-4.2761,-55.9836,Hotel Campos
361,Thamaga,BW,71.6,light rain,-24.6701,25.5397,The Signature Hotel
368,Road Town,VG,77.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
370,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
371,Bandarbeyla,SO,74.1,overcast clouds,9.4942,50.8122,JABIR HOTEL
379,Nikki,BJ,71.56,clear sky,9.9401,3.2108,Hotel John
381,Nuevo Progreso,MX,73.0,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
389,San Patricio,US,73.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
399,Matadi,CD,76.12,overcast clouds,-5.8167,13.45,Hotel Fortune
403,Manapparai,IN,73.4,mist,10.6,78.4167,VIJAY GUEST HOUSE (LODGE)
406,Porto Nacional,BR,77.0,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
432,Celestun,MX,73.72,overcast clouds,20.8667,-90.4,Posada Lilia
441,Ahipara,NZ,71.69,clear sky,-35.1667,173.1667,Ahipara Holiday Park
442,Rurrenabaque,BO,75.2,overcast clouds,-14.4413,-67.5278,Casa de Campo
444,Azacualpa,HN,75.99,broken clouds,15.3433,-88.5514,Guevara
448,Ife,NG,70.86,clear sky,7.4667,4.5667,Glory Suites
457,Quijingue,BR,73.06,overcast clouds,-10.7525,-39.2092,Pousada Sabor Da Terra
462,Cap Malheureux,MU,77.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
473,West Bay,KY,77.0,few clouds,19.3667,-81.4167,Calypso Cove
478,Hualmay,PE,71.17,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
479,Toribio,CO,77.0,clear sky,2.9548,-76.2684,Casa de Huespedes Toribio
482,Port Augusta,AU,71.6,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
485,Cururupu,BR,76.96,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
486,Maxixe,MZ,76.71,clear sky,-23.8597,35.3472,Oceano
489,El Dovio,CO,71.6,few clouds,4.5079,-76.2362,Julián
501,Pilar,BR,75.2,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
507,Maridi,SS,70.43,few clouds,4.9158,29.4742,
522,Kankon,IN,71.6,mist,15.0167,74.0167,Palolem Beach Resort
527,Boundiali,CI,70.45,clear sky,9.5217,-6.4869,Hotel Paysan Boundiali
533,Itupiranga,BR,73.87,moderate rain,-5.1347,-49.3267,Hotel Panorama
549,Lamu,KE,75.29,clear sky,-2.2717,40.902,Lamu House
552,Coari,BR,75.42,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
557,Apatou,GF,74.16,overcast clouds,5.155,-54.3472,
562,Oeiras Do Para,BR,75.33,moderate rain,-2.0031,-49.8544,Araticu Soft Hotel
564,Maceio,BR,75.2,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
571,Neiafu,TO,77.0,light rain,-18.65,-173.9833,Mystic Sands
576,Yanam,IN,75.2,mist,16.7333,82.2167,The Regency Hotel
588,Ulundi,ZA,70.34,light rain,-28.3352,31.4162,Ekhethelo Lodge
594,Berbera,SO,73.29,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
597,Aden,YE,74.1,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
604,Acajutiba,BR,72.27,overcast clouds,-11.6622,-38.0172,Recanto Da Lucinha
606,Gualaco,HN,73.4,few clouds,15.05,-86.05,Los encuentros
609,Witu,KE,72.05,clear sky,-2.3889,40.4382,New City Guest House
612,Januaria,BR,73.62,scattered clouds,-15.4833,-44.3667,Hotel Paraguassu
615,Tecolutla,MX,71.6,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
620,Santo Anastacio,BR,71.6,light rain,-21.8383,-51.6103,
650,Buchanan,LR,75.2,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
662,Huarmey,PE,71.31,broken clouds,-10.0681,-78.1522,Hotel Miramar
667,Tairua,NZ,71.01,clear sky,-37.0167,175.85,Pacific Harbour Villas
672,Kango,GA,73.87,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
